true,0.612,0,NO_LO
true,0.8175,0,NO_LO
true,0.8175,0,NO_LO
true,1.6124,0,LAND_ORT
true,0.612,0,NO_LO
true,1.6124,0,NO_LO
false,1.0122,0,NO_LO
true,1.6124,0,NO_LO
false,1.3711,0,NO_LO
true,0.612,0,NO_LO
false,1.3718,0,NO_LO
false,1.3785,0,NO_LO
false,0,0,NO_LO
true,1.4182,0,NO_LO
true,0.612,0,NO_LO
2014-12-02_12:54:25,lothar matthäus wohnort,false,0,0.1429,NO_LO
2014-12-02_12:54:43,lothar matthäus,false,0,0.1429,NO_LO
2014-12-02_13:06:05,bruce willis hollywood,true,1.0734,0,LAND_ORT
2014-12-02_13:06:20,bruce willis hollywood,true,1.0734,0,LAND_ORT
2014-12-02_13:06:36,bruce willis hollywood,true,1.0734,0,NO_LO
2014-12-02_13:06:36,frank sinatra new york,true,1.4895,0,NO_LO
2014-12-02_13:08:23,frank zimmermann stuttgart,true,1.6124,0.0714,LAND_ORT
2014-12-02_15:23:41,Peter Parker Baltimore,true,1.6124,0,LAND_ORT
2014-12-02_15:23:58,Arnold Schwarzenegger Kalifornien,false,0,0.5714,LAND_ORT
2014-12-02_14:08:11,Michael Halo Chicago,true,1.408,0,LAND_ORT
2014-12-02_14:13:36,Thami Bouchnafa konzert in  Berlin,true,0.8062,0.1429,LAND_ORT
2014-12-02_14:13:53,Thami Bouchnafa music konzert in Berlin,true,1.0084,0.1429,NO_LO
2014-12-02_14:13:57,Thami Bouchnafa musik konzert in Berlin,true,0.5375,0.1429,NO_LO
2014-12-03_14:39:11,Thami Bouchnafa Rock,true,1.4635,0,NO_LO
2014-12-03_14:40:14,Thami Bouchnafa John Komponist,true,0.6069,0,NO_LO
2014-12-03_16:06:08,Thami Bouchnafa Karlsruhe Pianist,true,0.5061,0.1429,NO_LO
2014-12-03_17:00:09,Michael Jackson Cran Canaria,true,0.6018,0,NO_LO
2014-12-03_17:00:16,Michael Jackson Cran Canaria,true,0.6018,0,NO_LO
2014-12-03_17:00:21,Michael Jackson Cran Canaria,true,0.6018,0,NO_LO
2014-12-03_17:00:26,Michael Jackson Cran Canaria,true,0.6018,0,NO_LO
2014-12-03_17:00:31,Michael Jackson Cran Canaria,true,0.6018,0,NO_LO
2014-12-03_17:14:10,Chris Brown Maler,false,0,0.0714,NO_LO
2014-12-03_17:14:17,Chris Brown Maler,false,0,0.0714,NO_LO
2014-12-03_17:14:24,Chris Brown Maler,false,0,0.0714,NO_LO
2014-12-03_17:14:41,Chris Brown Maler,false,0,0.0714,NO_LO
2014-12-03_17:21:46,Chris Brown Darmstadt Musik,true,0,0.1429,NO_LO
2014-12-03_17:21:52,Chris Brown Darmstadt,true,0,0.1429,LAND_ORT
2014-12-04_10:22:02,Chris Brown Evangeliumsrundfunk Deutschland,false,0.8062,2.1429,LAND_ORT
2014-12-04_10:23:14,Chris Brown Sprengel Museum,false,0.6371,0.4286,LAND_ORT
2014-12-04_10:23:19,Chris Brown Sprengel Museum,false,0.6371,0.4286,LAND_ORT
2014-12-04_10:23:22,Chris Brown Sprengel Museum,false,0.6371,0.4286,LAND_ORT
2014-12-04_10:23:40,Chris Brown Dr Essen,true,0.8062,0,LAND_ORT
2014-12-04_10:23:47,Chris Brown Essen,true,1.6124,0,LAND_ORT
2014-12-04_10:23:50,Chris Brown Essen,true,1.6124,0,LAND_ORT
2014-12-04_10:23:53,Chris Brown Essen,true,1.6124,0,LAND_ORT
2014-12-04_10:23:56,Chris Brown Essen,true,1.6124,0,LAND_ORT
2014-12-04_10:23:59,Chris Brown Essen,true,1.6124,0,LAND_ORT
2014-12-04_10:24:01,Chris Brown Essen,true,1.6124,0,LAND_ORT
2014-12-04_13:13:10,Michael Jackson Darmstadt music,true,0.7063,0.1429,NO_LO
2014-12-04_13:13:32,Michael Jackson Darmstadt Konzert,true,0,0.1429,NO_LO
2014-12-04_13:14:23,Michael Jackson Konzert in Berlin,true,0.8062,0.1429,NO_LO
2014-12-04_13:20:27,Michael Jackson Essen,true,1.6124,0,NO_LO
2014-12-04_13:20:53,Max Mustermann Essen,true,1.6124,0,NO_LO
2014-12-04_14:22:49,Barcelona Fußball Club Lionel Messi,true,0.9713,0.1429,NO_LO
2014-12-07_13:39:10,Max Mustermann Essen,true,1.6124,0,NO_LO
2014-12-07_13:39:29,Lionel Messi Barcelona Fußball Club,true,0.9713,0.1429,NO_LO
2014-12-16_10:47:28,Max Mustermann Essen,true,1.6124,0,NO_LO
2014-12-16_10:48:21,Max Mustermann Fußball Club,true,0.6507,0.1429,NO_LO
2014-12-16_10:50:33,Max Mustermann Fußball Club,true,0.6507,0.1429,NO_LO
2014-12-16_10:51:16,Max Mustermann Essen,true,1.6124,0,NO_LO
