@relation musik_ressourcen_train_table


@attribute location_found {false, true}
@attribute similarity_to_music_en numeric
@attribute similarity_to_music_de numeric
@attribute similarity_to_location_de numeric
@attribute similarity_to_family_de numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {MUSIK_RESSOURCEN,NO_MR}


@data
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.3592,0.111,0,0,0.0,MUSIK_RESSOURCEN
false,1.3657,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
true,1.5218,0,0.143,0,0.143,NO_MR
false,1.0218,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.667,0,0,0.111,MUSIK_RESSOURCEN
false,1.5218,0,0,0,0.0,NO_MR
false,1.0317,0,0,0,0.0,MUSIK_RESSOURCEN
true,1.5218,0,0.429,0,0.429,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
true,1.3369,0,0,0,0.0,NO_MR
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,1.0943,0.667,0.071,0,0.071,MUSIK_RESSOURCEN
false,1.4218,0,0,0,0.0,MUSIK_RESSOURCEN
false,3.0017,0,0,0,0.0,NO_MR
false,2.4714,0,0,0,0.0,MUSIK_RESSOURCEN
true,1.1229,0,0,0,0.0,MUSIK_RESSOURCEN
true,1.5218,0,0.143,0,0.143,NO_MR
false,2.8446,0,1.714,0,3.532,NO_MR
true,1.5218,0,0.143,0,0.143,NO_MR
false,1.1581,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.0218,0,0,0,0.909,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.6755,0.111,0,0,0.0,NO_MR
true,1.5218,0,0,0,0.0,NO_MR
true,0,0,0.071,0,0.586,NO_MR
false,1.5218,0,0,0,0.0,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.2637,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.5218,0,0,0,0.0,NO_MR
false,1.5218,0,0,0,0.0,NO_MR
false,1.1625,0,0,0,0.0,NO_MR
false,1.1762,0,0,0,1.344,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.5218,0,0,0,0.0,NO_MR
false,2.537,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0,0.071,0,0.586,NO_MR
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,1.1472,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.1726,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,0,0,0.143,0,0.901,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,2.6571,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.2077,0,0,0,0.182,MUSIK_RESSOURCEN
false,1.2455,0,0,0,0.0,NO_MR
false,1.3156,0.667,0,0,0.364,MUSIK_RESSOURCEN
false,3.2872,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0,0,0,0.286,NO_MR
false,0.9542,0,0,0,0.0,NO_MR
false,0.9542,0,0,0,0.0,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
true,1.5218,0,0.143,0,0.143,NO_MR
true,1.5218,0,0.286,0,0.286,NO_MR
false,1.5218,0,0,0,0.0,NO_MR
false,1.0943,0,0,0,0.0,NO_MR
true,2.8822,0,0.143,0,0.143,NO_MR
true,1.5218,0,0,0,0.0,NO_MR
false,1.5218,0,1.714,0,1.714,NO_MR
false,2.816,0,0,0,0.091,NO_MR
true,1.4409,0,1.5,0,1.591,NO_MR
true,2.6215,0,0,0,0.222,NO_MR
false,1.2433,0,0,0,0.182,MUSIK_RESSOURCEN
false,2.7664,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.222,0,0,0.0,MUSIK_RESSOURCEN
false,2.7855,0,1.5,0,1.5,NO_MR
false,1.1762,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,2.5946,0,0,0,0.444,NO_MR
false,1.0943,0,0,0,0.0,NO_MR
false,1.6588,0,0.071,0,0.071,MUSIK_RESSOURCEN
false,1.5466,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.5218,0,0,0,0.0,NO_MR
