@relation musik_ressourcen_test_table



@attribute location_found {false, true}
@attribute music_class numeric
@attribute music_klasse numeric
@attribute location_klasse numeric
@attribute family_klasse numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}



@data
false,0.9539,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0.9539,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.222,0,0,0.202,MUSIK/RESSOURCEN
true,1.2637,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
false,0,0.556,0,0,0.0,MUSIK/RESSOURCEN
true,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,2.0441,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.222,0,0,0.0,MUSIK/RESSOURCEN
true,1.5218,0,0.286,0,0.286,NACHRICHTEN/INFORMATION
false,0,0.222,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.111,0,0,0.182,MUSIK/RESSOURCEN
false,1.208,0,0,0,0.0,MUSIK/RESSOURCEN
false,2.0428,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0.667,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.313,NACHRICHTEN/INFORMATION
false,0,0.333,0,0,0.091,NACHRICHTEN/INFORMATION
false,0,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
true,1.5218,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.327,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.351,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.0943,0,0,0.083,1.083,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.273,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,2.5676,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.4458,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,2.4523,0,0,0,1.818,NACHRICHTEN/INFORMATION
false,1.2637,0,0,0,0.0,NACHRICHTEN/INFORMATION
