@relation musik_ressourcen_train_table


@attribute music_class numeric
@attribute news_class numeric
@attribute music_klasse numeric
@attribute news_klasse numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}


@data
1.1839,1.1839,0,0,NACHRICHTEN/INFORMATION
1.0095,1.0616,0,0,NACHRICHTEN/INFORMATION
0,0,0.444,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
0,0,0.889,0,MUSIK/RESSOURCEN
1.4184,1.2233,0,0,NACHRICHTEN/INFORMATION
2.2719,2.5597,0,0,NACHRICHTEN/INFORMATION
0.9664,0.9911,0,0,MUSIK/RESSOURCEN
1.0095,1.0616,0,0,NACHRICHTEN/INFORMATION
1.2388,1.1312,0,0,NACHRICHTEN/INFORMATION
2.5087,2.6344,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4452,1.3493,0,0,NACHRICHTEN/INFORMATION
1.4801,1.2772,0,0,NACHRICHTEN/INFORMATION
1.132,1.0832,0,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
0,0,0,0.333,NACHRICHTEN/INFORMATION
0,0,0.444,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
1.4236,1.6881,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
0,0,0.667,0,MUSIK/RESSOURCEN
1.1544,1.0561,0,0,NACHRICHTEN/INFORMATION
2.8473,3.0281,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
1.3176,1.3166,0,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
1.2145,1.3096,0,0,MUSIK/RESSOURCEN
0,0,0.111,0,NACHRICHTEN/INFORMATION
1.6752,1.4379,0,0,MUSIK/RESSOURCEN
1.4114,1.221,0,0,NACHRICHTEN/INFORMATION
0.6822,0.4864,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
2.7087,3.4256,0,0.444,NACHRICHTEN/INFORMATION
1.4595,1.2552,0,0,NACHRICHTEN/INFORMATION
0,0,0.222,0,MUSIK/RESSOURCEN
1.4016,1.64,0.111,0,MUSIK/RESSOURCEN
2.4692,2.444,0,0,NACHRICHTEN/INFORMATION
1.4052,2.017,0,0.444,NACHRICHTEN/INFORMATION
1.4801,1.2772,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.9715,1.6379,0,0,MUSIK/RESSOURCEN
