@relation musik_ressourcen_train_table

@attribute music_class numeric
@attribute ws4j {true,false}
@attribute music_klasse numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}


@data
1.4742,true,0.0,MUSIK/RESSOURCEN
1.2388,true,0.0,MUSIK/RESSOURCEN
0.0,false,0.222,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
0.9855,false,0.222,MUSIK/RESSOURCEN
2.5042,true,0.0,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.5175,true,0.0,MUSIK/RESSOURCEN
1.0768,true,0.0,MUSIK/RESSOURCEN
1.535,true,0.0,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.3821,true,0.0,NACHRICHTEN/INFORMATION
1.3703,true,0.111,NACHRICHTEN/INFORMATION
1.2792,true,0.667,MUSIK/RESSOURCEN
1.4992,true,0.0,MUSIK/RESSOURCEN
0.0,false,0.333,MUSIK/RESSOURCEN
0.0,false,0.667,MUSIK/RESSOURCEN
0.0,false,0.222,MUSIK/RESSOURCEN
0.0,false,0.0,NACHRICHTEN/INFORMATION
0.0,false,0.0,MUSIK/RESSOURCEN
1.4016,true,0.0,NACHRICHTEN/INFORMATION
1.4016,true,0.0,NACHRICHTEN/INFORMATION
0.0,false,0.0,NACHRICHTEN/INFORMATION
1.132,true,0.0,MUSIK/RESSOURCEN
0.0,false,0.0,MUSIK/RESSOURCEN
1.1328,true,0.667,MUSIK/RESSOURCEN
0.0,false,0.556,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.2676,true,0.0,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
0.9664,false,0.0,MUSIK/RESSOURCEN
1.0813,true,0.0,NACHRICHTEN/INFORMATION
1.4992,true,0.0,MUSIK/RESSOURCEN
1.0322,true,0.0,NACHRICHTEN/INFORMATION
1.9715,true,0.0,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.1487,true,0.111,MUSIK/RESSOURCEN
1.0583,true,0.0,MUSIK/RESSOURCEN
1.1544,true,0.0,MUSIK/RESSOURCEN
0.0,false,0.0,NACHRICHTEN/INFORMATION
2.7321,true,0.0,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
2.9793,true,0.0,NACHRICHTEN/INFORMATION
1.1544,true,0.0,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
0.0,false,0.0,NACHRICHTEN/INFORMATION
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.5175,true,0.0,MUSIK/RESSOURCEN
1.4801,true,0.0,NACHRICHTEN/INFORMATION
1.4992,true,0.0,NACHRICHTEN/INFORMATION
0.0,false,0.0,NACHRICHTEN/INFORMATION
1.4452,true,0.0,NACHRICHTEN/INFORMATION
1.2388,true,0.0,NACHRICHTEN/INFORMATION
0.0,false,0.0,NACHRICHTEN/INFORMATION
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.2081,true,0.0,MUSIK/RESSOURCEN
1.3481,true,0.0,NACHRICHTEN/INFORMATION
0.0,false,0.222,MUSIK/RESSOURCEN
1.005,true,0.0,NACHRICHTEN/INFORMATION
1.3213,true,0.0,MUSIK/RESSOURCEN
0.0,false,0.444,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.1328,true,0.0,MUSIK/RESSOURCEN
1.2183,true,0.667,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
2.5561,true,0.0,NACHRICHTEN/INFORMATION
2.4534,true,0.0,NACHRICHTEN/INFORMATION
1.2388,true,0.0,NACHRICHTEN/INFORMATION
2.4626,true,0.0,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
1.9715,true,0.0,MUSIK/RESSOURCEN
0.0,false,0.0,MUSIK/RESSOURCEN
1.3998,true,0.0,NACHRICHTEN/INFORMATION
1.1544,true,0.222,MUSIK/RESSOURCEN
1.4992,true,0.0,NACHRICHTEN/INFORMATION
2.6195,true,0.111,MUSIK/RESSOURCEN
