@relation land_ort_train_table


@attribute location_found {false, true}
@attribute location_class numeric
@attribute location_klasse numeric
@attribute music_klasse numeric
@attribute body_klasse numeric
@attribute news_klasse numeric
@attribute career_klasse numeric
@attribute career_klasse numeric
@attribute class {LAND/ORT, NACHRICHTEN/INFORMATION}


@data
false,0,0,0,0,0,0,0,LAND/ORT
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0.091,0.091,NACHRICHTEN/INFORMATION
false,0,0,0.667,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.2671,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0.455,0.455,NACHRICHTEN/INFORMATION
false,1.109,0,0,0,0.444,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.071,0,0,0,0,0,LAND/ORT
false,2.8482,0,0,0,0.444,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0.444,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0.357,0,0,0,0,0,LAND/ORT
false,1.4687,0,0,0,0,0.091,0.091,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
true,1.757,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
true,0,0.286,0,0,0.333,0.182,0.182,LAND/ORT
false,1.2035,0,0,0.429,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.429,0,0,0,0,0,LAND/ORT
false,1.757,1.714,0,0,0,0,0,LAND/ORT
false,3.5145,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.6593,0,0.111,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.333,0,0.556,0.818,0.818,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
false,0,1.714,0,0,0,0,0,LAND/ORT
false,1.757,1.714,0,0,0,0,0,LAND/ORT
true,1.7572,0.071,0,0,0,0,0,LAND/ORT
false,1.7572,0.571,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0.9708,1.357,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
true,1.7572,0.286,0,0,0,0,0,LAND/ORT
true,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,0.9005,0,0,0,0,0,0,LAND/ORT
false,2.755,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.667,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.109,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.357,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0.222,0.091,0.091,NACHRICHTEN/INFORMATION
false,1.3892,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.214,0.333,0,0,0.727,0.727,LAND/ORT
false,1.2789,0.143,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0.286,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
true,1.7572,0.286,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.1918,1.714,0,0,0,0,0,LAND/ORT
true,1.757,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0.222,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1918,0,0,0,0,1,1,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,LAND/ORT
true,0,0,0,0,0,0,0,LAND/ORT
false,1.4762,0,0,0,0,0.364,0.364,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
false,1.0392,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.111,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.222,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.757,0,0,0,0,0,0,LAND/ORT
false,1.7572,0.357,0,0,0,0,0,LAND/ORT
false,1.1126,0,0,0,0.667,0.091,0.091,NACHRICHTEN/INFORMATION
false,1.2789,0,0.111,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.0343,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2.5527,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,1.714,0,0,0,0,0,LAND/ORT
false,0.9708,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.333,0,0,0.273,0.273,NACHRICHTEN/INFORMATION
false,1.2671,0,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.109,0.143,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.556,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0.429,0,0,0,0,0,LAND/ORT
false,1.1918,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.7572,0.286,0,0,0,0.182,0.182,LAND/ORT
false,1.2779,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1901,0,0,0,0.889,0.455,0.455,NACHRICHTEN/INFORMATION
true,1.757,0,0,0,0,0,0,LAND/ORT
false,2.3869,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.1126,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,1.4872,0,0.111,0,0,0,0,NACHRICHTEN/INFORMATION
true,3.5145,0.286,0,0,0,0,0,LAND/ORT
false,1.1126,0,0,0,0,0.909,0.909,NACHRICHTEN/INFORMATION
false,1.3882,0,0,0,0,0,0,LAND/ORT
false,1.4961,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,LAND/ORT
false,3.2334,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,1.2789,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0.273,0.273,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0,0,0,0,LAND/ORT
false,0,0,0,0.143,0,0,0,NACHRICHTEN/INFORMATION
false,1.109,0,0,0,0,0.182,0.182,LAND/ORT
false,1.109,0,0.556,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1.4762,1.5,0,0,0,0.091,0.091,LAND/ORT
true,1.7572,0,0,0,0,0,0,LAND/ORT
true,1.2671,0.143,0,0,0,0,0,LAND/ORT
false,0,0,0.111,0,0,0,0,NACHRICHTEN/INFORMATION
false,2.8663,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0,0,0,LAND/ORT
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.667,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.143,0,0,0.667,0.091,0.091,LAND/ORT
false,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.039,0,0,0,0,0.364,0.364,LAND/ORT
false,1.1901,0,0,0,0,0.273,0.273,NACHRICHTEN/INFORMATION
false,1.7572,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.279,0.143,0,0,0,0,0,LAND/ORT
false,2.7916,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.3721,0,0,0,0.444,0,0,NACHRICHTEN/INFORMATION
false,2.9474,0.071,0,0,0,0,0,LAND/ORT
false,2.9474,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.667,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.109,0,0,0,0,0,0,LAND/ORT
false,1.3721,0,0,0,0.444,0,0,NACHRICHTEN/INFORMATION
true,0,0,0,0,0,0,0,LAND/ORT
false,1.7572,0.143,0,0,0,0,0,LAND/ORT
false,1.1901,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,0,0.143,0,0,0,0,0,LAND/ORT
