id,location_name,location_iata,location_state,location_art
84e7fb4f-632b-4b69-9927-c56c7ef99bfe,Alexandria,AEX,Vereinigte Staaten,int
08adecf5-7950-492f-a37e-d7a6d574dd7e,Akureyri,AEY,Island,int
0263a0c2-f9e7-49c0-ab43-648630840807,San Rafael (Argentinien)|San Rafael,AFA,Argentinien,int
14de451c-9afa-4bd6-aa0d-a0074fe30191,Port Alfred,AFD,Südafrika,int
23c45485-50f1-452e-8680-44e9ba146e1b,Colorado Springs,AFF,Vereinigte Staaten,int
86aee9db-a41b-4ac4-915d-36a69f80dc78,Amalfi,AFI,Kolumbien,int
1ffea1a6-b992-473d-9bf4-6b92ec4c83a8,Alta Floresta,AFL,Brasilien,int
8a7d2ca2-df51-471c-8791-6bfc4f1f8be7,Jaffrey (New Hampshire),AFN,Vereinigte Staaten,int
3d69dcf1-7de1-4444-8d4b-102a9cb1e095,Afton,AFO,Vereinigte Staaten,int
749a5109-5881-49f2-b81c-b7dde83e9b4f,Afore,AFR,Papua-Neuguinea,int
7f6f2db5-1713-41c2-827d-926f3d879388,Afutara,AFT,Salomonen,int
210cce58-4347-40a4-9538-615f877f4c4b,Fort Worth,AFW,Vereinigte Staaten,int
ef1faed7-7f80-4c9e-a9a5-8b45a52b12f4,Afyon,AFY,Türkei,int
77266527-a887-4bd9-ba3f-c1b3210a0469,Agadir,AGA,Marokko,int
0a52de24-db56-4695-b250-513809d5e579,Augsburg,AGB,Deutschland,int
fdb57bb3-9618-4d20-9b58-a9437334f883,West Mifflin,AGC,USA,int
11177dae-f686-4eda-801c-dd1a24936517,Anggi,AGD,Indonesien,int
d5039077-631d-408e-8819-9b8aed4af46e,Wangerooge,AGE,Deutschland,int
e5b118f4-9c3c-4425-8ddf-3d73ea1c3cdf,Agen,AGF,Frankreich,int
eda6d5d6-3690-42b8-a843-6cb0e4baaba9,Angoram,AGG,Papua-Neuguinea,int
f1e5bdbb-8617-4550-b8d9-85e4414a1f88,Ängelholm (Helsingborg),AGH,Schweden,int
770169f4-3205-411d-a57c-e96831cef5ad,Wageningen,AGI,,int
b0831619-8cb3-4845-b10b-f29a022f227c,Aguni,AGJ,Japan,int
50b61b7a-5c47-40ab-a084-9d0c82684230,Kagua,AGK,Papua-Neuguinea,int
e31ef07a-d3c5-49db-ba90-451ea452fe1b,Wanigela,AGL,Papua-Neuguinea,int
0f377424-2473-4e2a-bfb1-d7d45e4b832a,Ammassalik,AGM,Grönland,int
a3231b3d-670f-4832-8529-577ca241a41e,Angoon (Admiralty Island),AGN,USA,int
ac1f40eb-3672-4aaa-9a82-a81635b0a358,Magnolia,AGO,,int
77629047-b42a-4023-ab62-dfdd36dcc0c5,Málaga,AGP,Spanien,int
2fc00656-9cb0-4069-a5df-8151abdf3b74,Agrinion,AGQ,Griechenland,int
afcce121-0995-4ace-887f-759b1fb3c259,Agra,AGR,Indien,int
12e0cecd-241a-4eea-ab76-70dcff6e93c9,Augusta (Georgia) Augusta (Bush Field),AGS,USA,int
20e91d7f-27a2-44eb-bba7-a1e746fb654c,Ciudad del Este,AGT,Paraguay,int
1cbedc35-1bf0-4815-b57b-202acb6453a6,Aguascalientes,AGU,Mexiko,int
36a430fe-9809-422d-b069-47b6348dd30d,Acarigua,AGV,Venezuela,int
2a9ef01d-9009-4ad5-b21f-f535bbb136be,Agnew,AGW,Australien,int
6ff763c6-a6c0-4b9d-a050-ba7868344e1b,Agatti,AGX,Indien,int
9029a857-cce4-4232-8eb7-b8eaebfcb654,Argyle Downs,AGY,Australien,int
6336b1b5-19f2-4503-83c7-25f9b18b267f,Aggeneys,AGZ,Südafrika,int
5b250601-b5e1-42bf-8bd0-bf3a8ab96a53,Naha,AHA,Japan,int
dcaba443-6aa7-49bb-ba34-4686cfd97ba8,Abha,AHB,Saudi-Arabien,int
320eb89a-bd47-4fce-b56f-a8c481ffd1e8,Herlong (Kalifornien),AHC,USA,int
a7c00f07-ac9d-48a3-bc15-97e8ce1bd3ec,Ardmore,AHD,USA,int
a681b93a-2d72-4f6a-be62-626ffb5489c4,Ahe,AHE,Französisch-Polynesien,int
7bb90860-f306-40d3-a6ad-70c0757a18b5,Arapahoe,AHF,USA,int
90fefa50-644f-4455-b952-36f854f70d76,Amery,AHH,USA,int
4c8ea717-0a31-44fd-8834-3b36e2343f64,Amahai,AHI,Indonesien,int
f094da44-a263-4894-8abc-396be94a8869,Aishalton,AHL,Guyana,int
5030d139-ce33-4d75-aa7b-aa4a6056758e,Athens,AHN,USA,int
2e436824-865e-4589-910b-7527daa9c2c7,Alghero,AHO,Italien,int
67863b59-921d-49c1-8b76-1a1360951ba5,Wahoo (Nebraska),AHQ,USA,int
0c069f57-3887-4ec8-97d3-d6d0057a5559,Ahuas,AHS,Honduras,int
7991baca-c38d-4f3b-bdcb-99b3e1fa0794,Amchitka,AHT,USA,int
64026707-e3f5-49e8-bfc0-bca37fb4779e,Al-Hoceima,AHU,Marokko,int
62c64b25-a88c-4bfb-b62c-6dc38763602c,Ambatolahy,AHY,Madagaskar,int
eff73969-583a-4c03-988f-c858d5584bb2,L'Alpe d'Huez,AHZ,Frankreich,int
5b03141f-d5ad-40e5-b1cc-b726424a6251,Alliance,AIA,USA,int
4efcd922-7ef2-462b-a018-4738b2cfb285,Anita Bay,AIB,USA,int
76280769-5e90-45c9-9f17-41504c764474,Airok,AIC,Marshallinseln,int
11ca0d65-262f-4070-8dfb-46052d929ac5,Anderson,AID,USA,int
433249ab-3e04-4111-82b5-262e01f1b364,Aiome,AIE,Papua-Neuguinea,int
6b1e5614-b73f-4209-8a85-1470dc1aae53,Assis (São Paulo) Assis,AIF,Brasilien,int
6c2dbeda-a3d2-44c0-99bc-67361d6c3850,Yalinga,AIG,Zentralafrikanische Republik,int
6b7d861c-b4ca-48d4-b021-89a724bcb8bb,Aiambak,AIH,Papua-Neuguinea,int
64ec5a8d-1e67-45c9-84bc-43bc9dcd5ef2,Ali Sabieh,AII,Dschibuti,int
458a458b-82b3-4155-bae0-16b8e2fed3a9,Aiken (South Carolina) Aiken,AIK,USA,int
6b224866-3ceb-459a-9579-9d825079a6a3,Ailigandi,AIL,Panama,int
89eabc90-38fd-4e2f-873a-4bfdde740890,Ine (Marshallinseln),AIM,Marshallinseln,int
70ae05fa-d263-4bb7-8559-a04b544d9023,Wainwright (Alaska),AIN,USA,int
23be8bc0-430a-49bd-93d1-cda3a152fd87,Atlantic,AIO,USA,int
49a57a1a-ffa3-4812-bcf2-00e6af5f8503,Ailinglapalap,AIP,Marshallinseln,int
878bda6b-4978-4f77-989c-afb7d9774510,Aripuanã (Mato Grosso) Aripuanã,AIR,Brasilien,int
2a6704db-72c3-480f-941d-8c2e6bcc7e85,Arorae,AIS,Kiribati,int
d69f66e7-d43a-4ae4-be25-eec60deb9b31,Aitutaki,AIT,Cookinseln,int
57264824-b715-4f2a-b63d-5717bd98a213,Atiu,AIU,Cookinseln,int
cdd4b84b-689d-4d8a-9df2-d07f8bee77c6,Aliceville,AIV,USA,int
72fea79e-f5e8-4afc-8873-8a1b3530a110,Atlantic City (New Jersey) Atlantic City,AIY,USA,int
6b580780-5668-488c-8426-f34c51fea764,Kaiser (Missouri) Kaiser/Lake Ozark,AIZ,USA,int
5c9e75d0-0d90-4f1e-b252-9ddae466c4d2,Ajaccio,AJA,Frankreich,int
5cec9d7a-a8e9-477a-b523-d03d95c51022,Sakaka,AJF,Saudi-Arabien,int
d22e42b5-2524-4aa8-b69e-13b61001a93a,Mount Carmel (Illinois) Mount Carmel,AJG,USA,int
01dbd5f7-c14e-4663-b51f-fccc0af2951b,Agri,AJI,Türkei,int
8c62d4ee-0a9c-4cfa-958d-73631f220dcf,Akjoujt,AJJ,Mauretanien,int
786145f1-2063-46cc-ae67-d9fe618f426f,Aizawl,AJL,Indien,int
7d5d1146-2ac1-491c-afc9-88284602cdc7,Anjouan,AJN,Komoren,int
234b8946-ab82-42af-8bda-dd0ab1d60b75,Al-Jawf,AJO,Jemen,int
fc86e73d-f707-4857-b742-e362ad9a6b0a,Arvidsjaur,AJR,Schweden,int
80ab1900-00e1-40e3-a61f-2b510d5de371,Punta Abreojos,AJS,Mexiko,int
8ceefa3c-bbda-4339-a11a-198e5e018b50,Aracaju,AJU,Brasilien,int
a37e6105-27ee-4aba-bff5-c7891fe594eb,Agadez,AJY,Niger,int
7574bdfa-acf9-42f5-a765-732743251ed6,Ankang,AKA,Volksrepublik China,int
baaf7f96-092f-49a9-bf5e-d9e780fe012c,Atka Island Atka,AKB,USA,int
b2047e49-8412-481b-8d4f-62cffc797b1a,Akron,AKC,USA,int
020e1227-4b92-4963-b05d-956afc5c5218,Akola,AKD,Indien,int
3660ed59-1467-4f10-9418-490acb59bec0,Akieni,AKE,Gabun,int
769178a2-433a-4d77-8543-debc706eb38f,Kufra,AKF,Libyen,int
34d50443-8fd5-4f69-ae89-4ec0e702a46e,Anguganak,AKG,Papua-Neuguinea,int
84ab1b00-33e2-42e3-8236-f3d0046ffb21,Akiak,AKI,USA,int
4cb08944-cc66-4c6b-81a8-d10aed4f425d,Asahikawa,AKJ,Japan,int
4788d7fc-c8e8-4388-88ce-29e8ff758969,Akhiok,AKK,USA,int
bf6d03cc-df16-425e-9ba2-23c07f7899ec,Auckland,AKL,Neuseeland,int
0f80d5b9-b6ba-4cde-b1e8-b105d8f90ade,Nationalpark Zakouma,AKM,Tschad,int
19a097f7-3a6f-4e27-bc05-0dde3d1b133f,King Salmon,AKN,USA,int
9c4a93d8-52a8-428e-b17e-de9375ea492d,Akron,AKO,USA,int
f472dc4e-a88e-4337-8743-6b873e2984fe,Anaktuvuk Pass,AKP,USA,int
b6f41d90-0120-4dbd-bbd8-799028346aa2,Astraksetra,AKQ,Indonesien,int
20b9acf5-146a-4317-955b-d96fe4ec0823,Akure,AKR,Nigeria,int
8312cfae-61fb-4506-9b26-7d12add6c9d6,Auki,AKS,Salomonen,int
d3c8b10d-12b9-47b0-89b7-2c1849e91adf,Akrotiri und Dhekelia Akrotiri,AKT,Vereinigtes Königreich,int
a3e78aab-9681-4848-bda2-f769c0f663e4,Aksu,AKU,China,int
39986869-34cd-41e6-967e-50d68d686bec,Akulivik,AKV,Kanada,int
c8af3113-3e8a-4017-b58e-024bd965d1bc,Aqtöbe,AKX,Kasachstan,int
da25afa2-d455-4e96-b9c0-b48a25fdb16c,Sittwe,AKY,Myanmar,int
846040ff-8700-4b97-a122-b0f3b524a379,Almaty (Alma-Ata),ALA,Kasachstan,int
25923544-5b55-4b2d-be10-71f2241a89f2,Albany (New York) Albany,ALB,USA,int
1f80bf8c-5e94-4b57-ad44-efebed39d78d,Alicante,ALC,Spanien,int
6f008ccb-7d85-4b3d-a4d2-70b713cdfb23,Alerta,ALD,Peru,int
5af50a85-6a2c-45ef-8447-50739db7c841,Alpine,ALE,USA,int
ddb3b224-7271-411a-adb3-9a7f322729db,Alta,ALF,Norwegen,int
9f6168d7-12d9-46db-937b-6496b88f6935,Algier,ALG,Algerien,int
4c2079e1-a0fb-43de-83b5-77982ac4c56e,Albany,ALH,Australien,int
fe5f22f9-94e0-46f2-9872-a0ea4178588c,Alice,ALI,USA,int
851d51a0-91fd-4577-8e51-427a4c53f155,Alexander Bay,ALJ,Südafrika,int
8d0d54f1-dcf0-465e-9fab-7c990b260725,Assela,ALK,Äthiopien,int
34b6fe05-0137-4411-a430-a35ec0383fff,Albenga,ALL,Italien,int
17eb3c5a-57ae-4081-96d3-0425a81f2c46,Alamogordo,ALM,USA,int
d581733d-135f-461f-b5ff-50d57bc1b327,Alton,ALN,USA,int
9a8b97c9-b409-4f9d-b4c9-841b2eddb0ff,Waterloo (Iowa),ALO,USA,int
69e2a400-a5b7-4d7a-8852-c747416a0ac8,Aleppo,ALP,Syrien,int
c96649d3-07e4-4ed4-bea3-13fb4e1fd5f0,Alegrete,ALQ,Brasilien,int
1965ac99-5a90-4538-b1c5-0a869a9b9a7d,Alexandra,ALR,Neuseeland,int
e87d5ee7-f0ab-47a7-9538-36ed1ff6ffa4,Alamosa,ALS,USA,int
8c93090d-e821-44da-b30e-917a70d24bb2,Alenquer,ALT,Brasilien,int
7ef9f766-1056-4f4c-8c39-135e1a48f1b6,Aluula,ALU,Somalia,int
6c11fe45-ac40-465b-ad3d-6e38adcf1d61,Andorra la Vella,ALV,Andorra,int
8ead11aa-1d23-4e67-9563-4c6c3d8fd7b1,Walla Walla (Washington)|Walla Walla,ALW,USA,int
370098a8-4e63-4b55-84b4-e48b81446a9f,Alexander City,ALX,USA,int
df024ed2-90b8-44ec-af4f-e68640db008f,Alexandria,ALY,Ägypten,int
95f4f189-2679-4709-85e6-ba639d3dc4ae,Alitak,ALZ,USA,int
6edd6f93-8013-497c-8a07-42dc4c29e897,Amarillo,AMA,Vereinigte Staaten|USA,int
db72da78-982b-4ca7-bf14-4764c3925950,Ambilobe,AMB,Madagaskar,int
c0ada958-264f-4275-ad70-843724bc044a,Am Timan,AMC,Tschad,int
02ea885f-e47d-48be-a03f-86a18c87f05e,Ahmedabad,AMD,Indien,int
0b6ebe69-dd21-474c-b16d-4a737b95f983,Alto Molocue,AME,Mosambik,int
1bb17f06-e60b-4cd0-ab33-f41c61544ad3,Ama (Papua-Neuguinea) Ama,AMF,Papua-Neuguinea,int
c1e57b9c-8d40-4900-81fd-ccac7630eef2,Amboin,AMG,Papua-Neuguinea,int
93a514bf-cf34-4004-8778-5ad74b939c84,Arba Minch,AMH,Äthiopien,int
34532ab8-23f9-4ac3-ac36-34f96d90f6c9,Mataram,AMI,Indonesien,int
